image,class,x0,y0,z0,visibility0,x1,y1,z1,visibility1,x2,y2,z2,visibility2,x3,y3,z3,visibility3,x4,y4,z4,visibility4,x5,y5,z5,visibility5,x6,y6,z6,visibility6,x7,y7,z7,visibility7,x8,y8,z8,visibility8,x9,y9,z9,visibility9,x10,y10,z10,visibility10,x11,y11,z11,visibility11,x12,y12,z12,visibility12,x13,y13,z13,visibility13,x14,y14,z14,visibility14,x15,y15,z15,visibility15,x16,y16,z16,visibility16,x17,y17,z17,visibility17,x18,y18,z18,visibility18,x19,y19,z19,visibility19,x20,y20,z20,visibility20,x21,y21,z21,visibility21,x22,y22,z22,visibility22,x23,y23,z23,visibility23,x24,y24,z24,visibility24,x25,y25,z25,visibility25,x26,y26,z26,visibility26,x27,y27,z27,visibility27,x28,y28,z28,visibility28,x29,y29,z29,visibility29,x30,y30,z30,visibility30,x31,y31,z31,visibility31,x32,y32,z32,visibility32
79.jpeg,0,0.52751,0.47123,-0.94904,0.99782,0.55671,0.41428,-0.99306,0.99366,0.5726,0.41361,-0.9931,0.99144,0.59016,0.41341,-0.99329,0.99378,0.5278,0.41274,-0.91607,0.99345,0.522,0.41004,-0.91619,0.99198,0.51672,0.40681,-0.91665,0.99479,0.64363,0.42455,-0.94917,0.99353,0.54879,0.40683,-0.58235,0.99179,0.55974,0.52312,-0.91879,0.99764,0.52761,0.51847,-0.81382,0.9971,0.8252,0.69501,-0.79781,0.98987,0.45992,0.64787,-0.26274,0.9967,0.99043,0.98278,-0.81554,0.78183,0.22988,0.93687,-0.4705,0.98799,1.11686,1.34198,-0.84748,0.28332,0.1209,0.61522,-1.02573,0.99003,1.16579,1.42297,-0.88545,0.16976,0.09877,0.49224,-1.09992,0.94863,1.13728,1.42676,-0.935,0.23749,0.13074,0.46166,-1.06774,0.95784,1.10853,1.41013,-0.87135,0.29337,0.14467,0.49994,-1.03632,0.95536,0.75853,1.39794,-0.15272,0.00078,0.51618,1.39043,0.15608,0.00153,0.75109,1.96139,-0.10194,0.00203,0.51697,1.9508,0.3623,0.0021,0.76043,2.47106,0.49408,4e-05,0.52895,2.43824,0.82361,2e-05,0.7758,2.56205,0.5248,3e-05,0.53044,2.51506,0.85867,3e-05,0.69801,2.6193,0.05341,3e-05,0.54077,2.61805,0.39792,9e-05
96.jpeg,0,0.4936,0.33807,-0.78173,0.99731,0.51272,0.29171,-0.75133,0.99368,0.52332,0.28948,-0.75149,0.99369,0.53455,0.28805,-0.7514,0.99079,0.47524,0.29632,-0.76307,0.99496,0.46075,0.29712,-0.7633,0.99656,0.44794,0.29871,-0.76385,0.99639,0.55238,0.30326,-0.4652,0.99209,0.43093,0.31332,-0.50696,0.99651,0.51366,0.38625,-0.66709,0.99715,0.47318,0.39215,-0.68004,0.99673,0.61531,0.52251,-0.21543,0.99121,0.37627,0.5274,-0.39199,0.99852,0.65291,0.82799,-0.11236,0.58961,0.40938,0.85506,-0.67853,0.95185,0.64703,0.98401,-0.2694,0.30673,0.45875,0.53968,-1.11908,0.99084,0.65382,1.04816,-0.2923,0.25754,0.45948,0.46469,-1.21169,0.98074,0.64692,1.0288,-0.32715,0.28082,0.4463,0.44476,-1.20399,0.97975,0.63434,1.00205,-0.28831,0.33329,0.44535,0.46952,-1.1245,0.97663,0.5749,1.01991,0.0148,0.14481,0.42838,1.01824,-0.01336,0.17957,0.58607,1.43164,0.07399,0.00438,0.42562,1.43842,0.11536,0.00312,0.58553,1.77157,0.50079,0.00058,0.42704,1.78021,0.51586,0.00041,0.58884,1.82055,0.52269,0.00031,0.42206,1.8283,0.54496,0.00048,0.56962,1.89197,0.17878,0.00045,0.45097,1.8999,0.17233,0.00105
55.jpeg,0,0.57705,0.42897,-1.07871,0.99991,0.61893,0.37418,-1.0488,0.99988,0.6424,0.3736,-1.04889,0.99983,0.66515,0.37265,-1.049,0.99982,0.54288,0.37251,-1.03689,0.9999,0.51647,0.37122,-1.0366,0.99988,0.49321,0.37026,-1.03672,0.9999,0.7097,0.37722,-0.61081,0.99984,0.46314,0.38065,-0.55139,0.99994,0.62098,0.47603,-0.89745,0.99993,0.53771,0.47441,-0.88323,0.99995,0.78913,0.55779,-0.32913,0.9993,0.36719,0.54975,-0.14837,0.9998,0.87183,0.74488,-0.56003,0.95366,0.15239,0.73719,-0.61645,0.98601,0.74364,0.72214,-1.05539,0.98327,0.17256,0.55316,-1.52345,0.9949,0.69926,0.72106,-1.1588,0.96242,0.17116,0.49497,-1.67688,0.98476,0.65492,0.66122,-1.10221,0.96156,0.20103,0.45439,-1.59835,0.98451,0.65688,0.65789,-1.04238,0.9584,0.22014,0.49994,-1.51785,0.98508,0.70148,0.97272,-0.05544,0.40716,0.42668,1.01888,0.05754,0.47067,0.75863,1.39146,0.30746,0.01654,0.47154,1.3965,0.40068,0.0116,0.78653,1.71863,1.12262,0.00059,0.53084,1.71805,1.10445,0.00033,0.79131,1.76252,1.17856,0.00028,0.5363,1.75604,1.1651,0.00049,0.76778,1.83101,0.60908,0.00036,0.57668,1.83638,0.52283,0.00054
14.jpeg,0,0.64793,0.37783,-0.91924,0.99995,0.67124,0.32791,-0.87107,0.99989,0.68519,0.32905,-0.87097,0.99975,0.69808,0.33159,-0.87082,0.99981,0.62747,0.32942,-0.85934,0.99992,0.61185,0.33254,-0.85955,0.99988,0.59919,0.33689,-0.85994,0.99994,0.72346,0.36127,-0.55363,0.99972,0.58342,0.36758,-0.49413,0.99991,0.67462,0.4411,-0.80538,0.99996,0.62349,0.43792,-0.79066,0.99997,0.78979,0.6636,-0.35728,0.99757,0.49356,0.61254,-0.31526,0.99979,0.84001,0.97241,-0.37073,0.78107,0.31488,0.67289,-0.78027,0.99938,0.86489,1.20685,-0.52384,0.36348,0.42816,0.43402,-1.3877,0.995,0.86816,1.28187,-0.57323,0.18044,0.47106,0.38634,-1.51978,0.96014,0.84673,1.25958,-0.58435,0.20534,0.49253,0.38238,-1.43229,0.95839,0.83686,1.23457,-0.53725,0.24997,0.49414,0.40734,-1.37409,0.95622,0.73111,1.23923,-0.05378,0.04357,0.53204,1.22947,0.05621,0.08315,0.72596,1.68886,-0.07036,0.0015,0.54207,1.68329,0.20502,0.00188,0.71708,2.07509,0.51684,2e-05,0.53616,2.06406,0.71392,3e-05,0.71957,2.14048,0.55207,1e-05,0.52897,2.12681,0.75694,3e-05,0.68958,2.21648,0.12976,2e-05,0.56338,2.20813,0.31979,0.00017
43.jpeg,0,0.52621,0.23601,-0.65125,0.99913,0.54099,0.19424,-0.6355,0.99827,0.54953,0.19177,-0.63544,0.998,0.55813,0.18922,-0.63562,0.99775,0.50868,0.19811,-0.63901,0.99908,0.49863,0.19788,-0.63914,0.99922,0.49007,0.19737,-0.63934,0.9994,0.57187,0.19894,-0.45477,0.99806,0.47916,0.20769,-0.47224,0.99964,0.54576,0.27291,-0.57542,0.99952,0.51084,0.27307,-0.58116,0.99972,0.63716,0.37876,-0.25768,0.99625,0.42029,0.39532,-0.28506,0.99921,0.69907,0.52262,0.03655,0.86299,0.33198,0.50968,-0.03489,0.95728,0.62859,0.65615,0.21454,0.22391,0.39246,0.65405,0.1814,0.3728,0.6031,0.70501,0.24112,0.11562,0.4146,0.69629,0.20144,0.19559,0.59834,0.67137,0.2344,0.11442,0.43245,0.68877,0.20021,0.19841,0.59755,0.67417,0.22074,0.11729,0.42815,0.67034,0.19022,0.20496,0.58234,0.83549,-0.01091,0.83232,0.45398,0.83584,0.0113,0.8422,0.56583,1.16095,0.10443,0.62731,0.44586,1.16424,0.13301,0.50969,0.56814,1.4059,0.58438,0.13832,0.44643,1.42932,0.52937,0.19564,0.56833,1.44069,0.62317,0.07474,0.4498,1.4647,0.56387,0.1819,0.55412,1.51872,0.40931,0.07075,0.45674,1.54081,0.31711,0.14492
42.jpeg,0,0.5205,0.31664,-0.42724,0.99997,0.52912,0.28444,-0.3884,0.99991,0.53657,0.2874,-0.38814,0.99993,0.54545,0.29093,-0.38782,0.9999,0.50339,0.2771,-0.40155,0.99995,0.49202,0.27529,-0.4015,0.99997,0.48005,0.27439,-0.40179,0.99996,0.55183,0.31205,-0.16203,0.99993,0.45803,0.29668,-0.22013,0.99999,0.5313,0.36812,-0.34332,0.99997,0.49742,0.36095,-0.36104,0.99999,0.60381,0.52115,-0.04569,0.99996,0.35248,0.50808,-0.10909,0.99998,0.73943,0.77035,-0.28382,0.99742,0.24615,0.77161,-0.36053,0.99835,0.62507,0.53125,-0.62569,0.9992,0.29714,0.74164,-0.79861,0.99846,0.60294,0.41911,-0.69073,0.99432,0.30951,0.73837,-0.86756,0.99259,0.58855,0.40252,-0.60838,0.99254,0.3303,0.69084,-0.83962,0.9916,0.5888,0.4355,-0.59943,0.99331,0.33301,0.69186,-0.7941,0.99201,0.55114,1.02543,0.01425,0.76177,0.38178,1.07446,-0.01203,0.76953,0.56483,1.4719,0.0978,0.00235,0.38176,1.46286,0.07287,0.00186,0.55572,1.84144,0.44709,7e-05,0.38244,1.82053,0.32423,6e-05,0.55856,1.89232,0.46499,0.0001,0.37418,1.87036,0.34175,0.00013,0.53259,1.97185,0.17884,9e-05,0.41606,1.94803,0.01839,0.00015
15.jpeg,0,0.50825,0.18816,-0.80733,0.99999,0.5117,0.16512,-0.80596,0.99997,0.52264,0.16128,-0.80598,0.99997,0.53349,0.15646,-0.80619,0.99998,0.48778,0.17333,-0.75199,0.99997,0.48334,0.1755,-0.75188,0.99996,0.47909,0.17783,-0.75165,0.99995,0.56413,0.14939,-0.63711,0.99998,0.48976,0.17765,-0.38581,0.9999,0.54915,0.1983,-0.73417,0.99999,0.52043,0.2112,-0.66133,0.99999,0.73095,0.22342,-0.57103,1.0,0.51303,0.26567,0.04365,0.99984,0.89958,0.35589,-0.56147,0.99968,0.46464,0.36719,0.29979,0.60514,0.88069,0.51013,-0.72395,0.99796,0.43508,0.43348,-0.04449,0.788,0.89546,0.55063,-0.82105,0.99138,0.41418,0.45418,-0.10174,0.70977,0.85948,0.55082,-0.86816,0.99154,0.41896,0.44382,-0.19054,0.71743,0.84675,0.53814,-0.7414,0.9882,0.43451,0.4353,-0.08889,0.69338,0.70676,0.50299,-0.24433,0.99998,0.59228,0.47476,0.24457,0.99994,0.58725,0.70142,-0.08015,0.99779,0.36236,0.38975,-0.08897,0.94823,0.59677,0.8902,0.36702,0.99678,0.31939,0.60449,0.08757,0.93088,0.62873,0.91661,0.39702,0.96239,0.34224,0.65348,0.0946,0.91223,0.47123,0.951,0.0666,0.99053,0.16508,0.58967,-0.11387,0.94803
54.jpeg,0,0.53959,0.31529,-0.63836,0.99898,0.5455,0.26918,-0.61214,0.99832,0.55321,0.26675,-0.61217,0.99866,0.5612,0.26411,-0.61197,0.99818,0.51281,0.2721,-0.63537,0.9976,0.49515,0.27288,-0.63557,0.99779,0.47893,0.27629,-0.63598,0.99659,0.56003,0.27813,-0.35286,0.99868,0.44529,0.30374,-0.44965,0.99838,0.55232,0.3616,-0.53442,0.99953,0.51456,0.37014,-0.56249,0.9993,0.61844,0.50598,-0.15199,0.99989,0.35122,0.51251,-0.34628,0.99958,0.66466,0.89028,-0.32103,0.98585,0.37817,0.81222,-0.68965,0.99587,0.70976,0.7456,-0.79467,0.99639,0.48129,0.51747,-1.09251,0.99883,0.71347,0.69699,-0.86851,0.98656,0.49102,0.44295,-1.15993,0.99453,0.7206,0.65038,-0.85095,0.98586,0.47502,0.41534,-1.12829,0.99338,0.71262,0.66367,-0.79924,0.98707,0.47274,0.44037,-1.08439,0.99378,0.58588,1.01253,0.02993,0.76752,0.42381,1.02462,-0.02802,0.74679,0.58471,1.42428,0.09939,0.00816,0.41282,1.43633,0.1625,0.00692,0.56859,1.76938,0.51407,0.00019,0.40466,1.76771,0.56474,0.00017,0.57087,1.8262,0.53837,0.00027,0.39516,1.82102,0.5954,0.00027,0.55392,1.89375,0.23812,0.00018,0.43257,1.89503,0.26934,0.0003
78.jpeg,0,0.68275,0.21263,-0.23421,1.0,0.69481,0.19297,-0.21098,1.0,0.70082,0.19387,-0.21105,1.0,0.70673,0.19503,-0.21116,1.0,0.67343,0.19017,-0.20918,1.0,0.66677,0.1895,-0.20922,1.0,0.66086,0.18961,-0.20928,1.0,0.71644,0.20802,-0.08851,1.0,0.6532,0.20248,-0.07622,1.0,0.69603,0.23818,-0.18874,1.0,0.67091,0.23705,-0.18495,1.0,0.76865,0.34595,-0.02935,1.0,0.59648,0.33563,0.0144,1.0,0.80704,0.51409,-0.06885,0.99904,0.55196,0.52211,-0.06268,0.99579,0.73839,0.51376,-0.23512,0.98408,0.58465,0.46089,-0.32435,0.9883,0.71172,0.52652,-0.2678,0.96723,0.59625,0.45207,-0.37656,0.97748,0.70566,0.49772,-0.2724,0.9652,0.60313,0.42347,-0.37776,0.97411,0.71057,0.49229,-0.23571,0.95442,0.60273,0.42396,-0.32908,0.96458,0.71457,0.58726,-0.02432,0.9994,0.60976,0.56752,0.02423,0.99908,0.69016,0.70739,-0.44829,0.80685,0.52028,0.63501,-0.39798,0.8814,0.5761,0.81515,-0.78553,0.24416,0.38151,0.74688,-0.83727,0.42709,0.56048,0.86106,-0.8211,0.56741,0.37289,0.82118,-0.88303,0.92412,0.53898,0.78859,-0.8621,0.53308,0.28817,0.65817,-0.89861,0.87272
97.jpeg,0,0.5094,0.47689,-1.09792,0.99995,0.53871,0.39037,-1.07551,0.99995,0.55513,0.39209,-1.07514,0.99995,0.56977,0.39383,-1.07492,0.99994,0.48701,0.38144,-1.08032,0.99993,0.4687,0.37753,-1.0797,0.99992,0.45122,0.37507,-1.07961,0.9999,0.59119,0.42144,-0.73567,0.99997,0.41586,0.39131,-0.74901,0.99997,0.53511,0.54605,-0.95721,0.99998,0.46813,0.55232,-0.96274,0.99997,0.67618,0.73426,-0.47651,0.99952,0.26163,0.7405,-0.44836,0.99863,0.88808,1.02441,-0.94471,0.69991,0.09986,1.1379,-0.64414,0.42648,0.78074,0.84755,-1.50567,0.98976,0.0765,0.90633,-0.99438,0.88055,0.75498,0.69862,-1.61099,0.97602,0.01891,0.79487,-1.04391,0.80357,0.68922,0.67204,-1.48002,0.97726,0.064,0.79012,-1.00009,0.83495,0.67908,0.72985,-1.47231,0.97752,0.09304,0.83039,-0.9939,0.86496,0.63411,1.55118,-0.05867,0.00612,0.32652,1.57851,0.06423,0.00456,0.64068,2.22691,0.15123,0.00034,0.35866,2.24368,0.35288,0.00014,0.65733,2.80941,0.908,1e-05,0.38468,2.82021,1.09777,0.0,0.66322,2.90613,0.95823,1e-05,0.38307,2.92364,1.16489,0.0,0.64317,3.02041,0.43073,1e-05,0.4272,3.01606,0.5619,1e-05
5.jpeg,0,0.30476,0.34857,-1.02689,0.99923,0.32233,0.27864,-0.9573,0.99889,0.33844,0.27136,-0.95767,0.99884,0.35248,0.26562,-0.95786,0.99867,0.27913,0.2955,-0.94904,0.99855,0.26521,0.30037,-0.94889,0.99873,0.25241,0.30622,-0.94943,0.99878,0.38007,0.2828,-0.49917,0.99908,0.24787,0.3296,-0.44361,0.99881,0.34756,0.3967,-0.85585,0.99947,0.28852,0.41686,-0.84136,0.99915,0.55679,0.63752,-0.21072,0.99318,0.17595,0.63734,-0.30312,0.98822,0.60111,1.03829,-0.20462,0.33222,0.1055,0.99202,-0.95822,0.83354,0.61896,1.44241,-0.42509,0.16329,0.27692,0.6182,-1.90066,0.87983,0.64406,1.56396,-0.49766,0.185,0.30668,0.49779,-2.10858,0.8095,0.61064,1.55872,-0.56038,0.25287,0.30128,0.46398,-2.06082,0.83692,0.5869,1.51739,-0.46247,0.24453,0.29597,0.50793,-1.91093,0.78131,0.47092,1.44879,-0.07409,0.00451,0.21877,1.44856,0.0775,0.00372,0.45901,2.09467,-0.08038,0.00407,0.22141,2.07568,0.01173,0.00361,0.45584,2.6708,0.5244,0.00048,0.2404,2.65218,0.44099,0.00015,0.46128,2.7565,0.54484,0.00018,0.24315,2.73735,0.46658,0.00023,0.42208,2.83977,-0.07665,0.00024,0.26378,2.82929,-0.19589,0.00049
81.jpeg,0,0.54397,0.30115,-0.73169,0.99921,0.53028,0.27164,-0.68603,0.99844,0.53328,0.27136,-0.68611,0.9982,0.53557,0.27079,-0.68623,0.99838,0.50867,0.27265,-0.76834,0.99903,0.49613,0.2733,-0.76864,0.99892,0.48038,0.27394,-0.7693,0.99898,0.49611,0.28408,-0.39701,0.99798,0.40521,0.29122,-0.76475,0.99922,0.54864,0.32947,-0.61309,0.99978,0.51691,0.3316,-0.71895,0.99988,0.61837,0.46584,-0.16543,0.99944,0.21963,0.45381,-0.73456,0.99934,0.66755,0.68768,0.09368,0.96718,0.16167,0.6901,-0.71724,0.99584,0.69589,0.8775,-0.13114,0.95766,0.29319,0.85832,-0.77473,0.98138,0.70331,0.94071,-0.22818,0.90113,0.33057,0.90209,-0.85698,0.94776,0.66862,0.93567,-0.30468,0.91516,0.36462,0.88945,-0.92882,0.95433,0.65776,0.91777,-0.16986,0.92705,0.35864,0.87506,-0.79653,0.95076,0.573,0.85726,0.10037,0.98534,0.35439,0.87231,-0.09867,0.98392,0.59087,1.13662,0.0733,0.45898,0.38152,1.1395,0.18733,0.1594,0.59983,1.35737,0.85652,0.02269,0.38964,1.36299,0.98208,0.02242,0.59603,1.39156,0.91674,0.03684,0.38141,1.4014,1.05071,0.02826,0.61036,1.45016,0.57916,0.01778,0.42953,1.4445,0.65303,0.01944
39.jpeg,0,0.41863,0.45095,-1.08977,0.99996,0.45487,0.42556,-1.015,0.99993,0.47262,0.42722,-1.01501,0.99992,0.48936,0.42898,-1.01485,0.99987,0.39593,0.41839,-1.03441,0.99997,0.37448,0.41476,-1.03482,0.99998,0.35411,0.41111,-1.03533,0.99998,0.51301,0.43521,-0.48176,0.99993,0.32008,0.41859,-0.56383,0.99999,0.44468,0.48313,-0.88041,0.99992,0.37331,0.4761,-0.90574,0.99997,0.59865,0.54462,-0.11934,0.99968,0.19507,0.58667,-0.31471,0.99987,0.9187,0.50582,-0.4799,0.99953,0.12931,0.82578,-1.00963,0.99882,0.7914,0.28374,-1.01883,0.99956,0.16587,0.71524,-2.22836,0.99963,0.77366,0.22169,-1.14971,0.9975,0.1626,0.67174,-2.44018,0.99873,0.74156,0.22261,-1.1014,0.99697,0.16911,0.64269,-2.4187,0.99865,0.73437,0.2414,-1.01888,0.99714,0.18371,0.65155,-2.24192,0.99826,0.56784,0.96678,0.03105,0.99348,0.28429,0.96953,-0.02875,0.99303,0.58697,1.26799,-0.02107,0.11198,0.30234,1.26341,-0.03277,0.06582,0.56735,1.53693,0.56661,0.00131,0.30737,1.5399,0.3767,0.00309,0.57279,1.56806,0.59451,0.0017,0.30381,1.57735,0.39742,0.00517,0.50521,1.63858,0.08088,0.001,0.34262,1.63182,-0.19824,0.00212
58.jpeg,0,0.51657,0.21173,-0.6563,0.99996,0.52736,0.18127,-0.61738,0.99994,0.53567,0.18042,-0.61773,0.99995,0.54211,0.17988,-0.61787,0.99994,0.5011,0.18341,-0.61637,0.99991,0.49224,0.18421,-0.61639,0.9999,0.48426,0.18554,-0.6166,0.99988,0.55644,0.1909,-0.36143,0.99996,0.47317,0.19958,-0.35151,0.99991,0.53436,0.24732,-0.56132,0.99998,0.50168,0.25288,-0.55833,0.99995,0.62653,0.39743,-0.17944,0.99997,0.40832,0.3904,-0.14507,0.9996,0.70419,0.63169,-0.10127,0.99846,0.32906,0.63032,-0.17893,0.99714,0.85751,0.63739,-0.42317,0.99903,0.18673,0.6119,-0.63826,0.99849,0.91649,0.64075,-0.48763,0.99692,0.12286,0.61258,-0.71324,0.99572,0.91661,0.60922,-0.56281,0.99751,0.11803,0.57714,-0.79713,0.99671,0.89709,0.60557,-0.46347,0.99802,0.14063,0.57761,-0.6871,0.99715,0.56785,0.87811,-0.02499,0.99616,0.43264,0.87232,0.0265,0.99336,0.56587,1.21434,-0.01542,0.21523,0.42685,1.21968,0.14725,0.17508,0.56682,1.50234,0.493,0.00355,0.43553,1.51501,0.56249,0.00528,0.5731,1.54245,0.52939,0.00507,0.43616,1.55671,0.59474,0.00767,0.54325,1.60494,0.27291,0.00165,0.45059,1.61431,0.30047,0.00431
100.jpeg,0,0.31922,0.19959,-0.5813,0.99843,0.32219,0.16951,-0.52625,0.99772,0.32749,0.16975,-0.52633,0.99703,0.33289,0.17001,-0.52634,0.99754,0.29984,0.16929,-0.58426,0.99779,0.28718,0.17002,-0.58465,0.99742,0.27404,0.17133,-0.58502,0.99744,0.32287,0.18568,-0.23166,0.99595,0.24084,0.18686,-0.49144,0.99685,0.32585,0.23574,-0.46877,0.99932,0.30071,0.23508,-0.54425,0.99898,0.34763,0.38998,-0.00929,0.99825,0.14939,0.37745,-0.50207,0.99498,0.3808,0.63556,0.10164,0.88704,0.17893,0.62927,-0.75339,0.99187,0.42568,0.81072,-0.05995,0.92562,0.32073,0.49891,-0.94852,0.99692,0.4415,0.88446,-0.09864,0.83201,0.36181,0.44235,-1.02211,0.98735,0.43519,0.8887,-0.1384,0.84512,0.35666,0.41902,-1.00979,0.98678,0.42666,0.85815,-0.08325,0.88256,0.34059,0.4367,-0.94255,0.98206,0.32882,0.80045,0.11159,0.99695,0.2005,0.81386,-0.11067,0.99335,0.33248,1.12161,-0.04198,0.5853,0.18945,1.13148,0.04449,0.28821,0.33269,1.36604,0.59168,0.0214,0.17264,1.36854,0.76173,0.01495,0.32708,1.40694,0.63929,0.02528,0.16273,1.40934,0.82233,0.01045,0.34523,1.46269,0.36125,0.01466,0.20082,1.45836,0.51018,0.01969
23.jpeg,0,0.36179,0.21309,-0.1499,0.99999,0.37735,0.19708,-0.13255,0.99996,0.38787,0.19624,-0.13284,0.99997,0.39617,0.19541,-0.13308,0.99997,0.34203,0.19937,-0.11139,0.99996,0.33129,0.20042,-0.11117,0.99995,0.32105,0.20152,-0.11101,0.99994,0.41183,0.2013,-0.00446,0.99998,0.31411,0.21074,0.0969,0.99989,0.38538,0.23566,-0.09674,0.99998,0.34534,0.24035,-0.06804,0.99996,0.45595,0.2867,-0.13829,1.0,0.30818,0.32844,0.32678,0.99968,0.519,0.41672,-0.23526,0.99872,0.31577,0.47272,0.38065,0.52163,0.37757,0.51493,-0.3128,0.99673,0.28627,0.59754,0.222,0.65078,0.35563,0.55852,-0.38173,0.99222,0.28971,0.63883,0.17224,0.59991,0.33485,0.54837,-0.38247,0.99207,0.28604,0.63345,0.11735,0.60754,0.33779,0.53653,-0.30897,0.98829,0.28947,0.62069,0.19045,0.6154,0.44258,0.58108,-0.16739,0.99988,0.34663,0.59202,0.16734,0.99948,0.54301,0.79234,-0.20614,0.99582,0.37879,0.80561,0.21345,0.91087,0.68417,0.97185,-0.12617,0.99097,0.3747,0.99096,0.37028,0.94611,0.70779,0.98665,-0.13087,0.76717,0.39221,1.00295,0.37093,0.78814,0.60494,1.05711,-0.38591,0.97718,0.26701,1.05269,0.18842,0.92805
74.jpeg,0,0.42902,0.26949,-1.6834,0.99984,0.43927,0.22278,-1.63903,0.99967,0.45601,0.22156,-1.63884,0.99967,0.47038,0.22066,-1.63906,0.9997,0.38401,0.22953,-1.63366,0.99963,0.36268,0.23377,-1.6344,0.99963,0.34192,0.23872,-1.63481,0.99964,0.48711,0.2434,-1.31452,0.99983,0.30481,0.26854,-1.2668,0.99954,0.46393,0.31206,-1.55792,0.99996,0.40412,0.32296,-1.54446,0.99994,0.67703,0.48973,-1.07464,0.99973,0.18851,0.50491,-0.97659,0.99803,0.75147,0.82614,-1.01768,0.99085,0.06383,0.86093,-1.19018,0.99366,0.65934,1.01757,-1.20843,0.88498,0.2394,0.76173,-1.78098,0.9898,0.66575,1.11549,-1.31299,0.65239,0.32335,0.76684,-1.90942,0.94912,0.61996,1.09519,-1.35218,0.70221,0.3343,0.7153,-1.89083,0.94822,0.61408,1.06775,-1.22391,0.78986,0.3141,0.71027,-1.78321,0.95151,0.56751,0.90581,-0.03855,0.95259,0.3171,0.88919,0.04057,0.97056,0.57875,1.24365,0.20186,0.0649,0.31985,1.24131,0.42721,0.05693,0.56426,1.48325,1.39681,0.00056,0.31424,1.47844,1.3383,0.00184,0.5696,1.52002,1.49507,0.00136,0.31003,1.5244,1.42583,0.00191,0.51691,1.62169,1.092,0.00039,0.32792,1.60667,0.99475,0.00229
62.jpeg,0,0.43897,0.12718,-0.5575,0.99998,0.45108,0.10575,-0.55622,0.99996,0.46136,0.10314,-0.55636,0.99996,0.47178,0.09999,-0.55646,0.99995,0.43182,0.10992,-0.50778,0.99994,0.42824,0.11021,-0.50777,0.99993,0.42417,0.11059,-0.50777,0.99992,0.50698,0.09715,-0.36665,0.99998,0.44469,0.10878,-0.14244,0.99987,0.47259,0.14116,-0.47397,0.99999,0.4439,0.14748,-0.40988,0.99997,0.65039,0.1874,-0.25169,0.99999,0.41661,0.20623,0.19185,0.99989,0.73671,0.33562,-0.42206,0.99879,0.39065,0.3399,0.06862,0.72337,0.58307,0.35648,-0.80844,0.99571,0.35421,0.34604,-0.67892,0.9397,0.53695,0.37488,-0.92089,0.98635,0.33194,0.34915,-0.80645,0.91933,0.51765,0.35375,-0.92161,0.98575,0.32947,0.33778,-0.85823,0.91888,0.52561,0.34698,-0.8072,0.97781,0.34364,0.33663,-0.72086,0.89853,0.56449,0.4874,-0.14803,0.99879,0.44837,0.48044,0.14832,0.9987,0.53156,0.68021,-0.07981,0.97516,0.49513,0.67179,0.20617,0.95129,0.48416,0.84305,0.33626,0.96652,0.54196,0.83771,0.59946,0.9688,0.48199,0.87003,0.3568,0.8556,0.5723,0.86479,0.61998,0.92493,0.44487,0.91293,0.02293,0.95133,0.47579,0.90214,0.32756,0.95981
9.jpeg,0,0.45677,0.23503,-0.75047,0.99981,0.48721,0.20147,-0.72262,0.99942,0.50661,0.20197,-0.72276,0.99938,0.52392,0.20306,-0.72319,0.99939,0.4332,0.203,-0.70477,0.9996,0.41735,0.20403,-0.7048,0.9996,0.4054,0.20541,-0.70533,0.99965,0.5559,0.21893,-0.48613,0.99914,0.39264,0.22251,-0.39309,0.99969,0.4952,0.26937,-0.65431,0.99993,0.43066,0.27066,-0.62827,0.99995,0.71937,0.43135,-0.30498,0.99961,0.30235,0.40771,-0.2789,0.9999,0.74562,0.67688,-0.03906,0.98443,0.24651,0.63579,-0.09477,0.9934,0.72306,0.89592,-0.00052,0.93109,0.2436,0.8563,-0.1612,0.98735,0.74159,0.95755,-0.04301,0.86593,0.229,0.92731,-0.19548,0.96264,0.69617,0.95397,-0.08805,0.87633,0.2679,0.92408,-0.27209,0.96702,0.68258,0.93571,-0.01211,0.90127,0.28182,0.90067,-0.18811,0.96732,0.60894,0.85895,0.00483,0.99938,0.36329,0.8544,-0.00378,0.99923,0.56047,1.14945,-0.03389,0.36147,0.33466,1.14088,0.35376,0.30865,0.55172,1.36055,0.91401,0.00757,0.3441,1.35534,1.24386,0.00915,0.56159,1.39443,0.99732,0.00885,0.34819,1.392,1.33008,0.00969,0.50499,1.46195,0.68198,0.00446,0.3594,1.45158,0.98389,0.00705
